date,Model,wts,Parameter,Estimate,Standard.error,source,contrib,data.collection,valid_1,valid_2,valid_3
1/22/26,expo_vg,hausdorff,var_param_2,NA,-2001002,cp_spatial,NA,generation,NA,NA,NA
1/22/26,expo_vg,hausdorff,log_lik,NA,-2001002,cp_spatial,NA,generation,NA,NA,NA
1/22/26,SAR,queen_contig,beta_0,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,beta_1,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,beta_2,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,rho,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,range,-2001002,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,var_param_1,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,var_param_2,-2001002,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,SAR,queen_contig,log_lik,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,beta_0,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,beta_1,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,beta_2,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,rho,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,range,-2001002,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,var_param_1,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,var_param_2,-2001002,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,CAR,queen_contig,log_lik,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,beta_0,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,beta_1,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,beta_2,NA,NA,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,rho,-2001002,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,range,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,var_param_1,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,var_param_2,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
1/22/26,expo_vg,centroid_euclid,log_lik,NA,-2001002,cp_spatial,NA,reproduction,NA,NA,NA
2/9/26,iid,zero,beta_0,590.2646398,3.933231841,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,beta_1,-2.881812853,0.303617185,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,beta_2,0.023260292,0.0038081,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,rho,-2001002,-2001002,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,range,-2001002,-2001002,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,var_param_1,,-2001002,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,var_param_2,-2001002,-2001002,cp_spatial,schedler,reproduction,NA,NA,NA
2/9/26,iid,zero,log_lik,-183.8775559,-2001002,cp_spatial,schedler,reproduction,NA,NA,NA
